Họ và tên,E-mail Address,Company Name,Job Title,Nganh,Size,Phone Number
Phan Thanh Bình,phan.thanh.binh.1029@fptsoftware.vn,FPT Software,CEO,healthcare,25,0973507229
Hoàng Văn Giang,hoang.van.giang.1030@viettiengarm.vn,Viet Tien Garment,Procurement Manager,education,10,0704936965
Hoàng Thanh Linh,hoang.thanh.linh.1031@basevn.vn,Base.vn,Head of Finance,ecommerce,25,0866468010
Đỗ Văn Lan,do.van.lan.1032@thecoffeehou.vn,The Coffee House,Head of Finance,healthcare,120,0969925556
Hoàng Thanh Giang,hoang.thanh.giang.1033@gmail.com,The Coffee House,Operations Manager,ecommerce,500,0903015731
Bùi Minh Mai,bui.minh.mai.1034@gmail.com,Viet Tien Garment,Sales Director,manufacturing,500,0976864968
Trần Hồng Mai,tran.hong.mai.1035@viettiengarm.vn,Viet Tien Garment,Product Manager,software,1500,0867185568
Phạm Ngọc Giang,pham.ngoc.giang.1036@cenland.vn,CenLand,Product Manager,fintech,25,0901719805
Bùi Ngọc Sơn,bui.ngoc.son.1037@gmail.com,PNJ,Head of Finance,healthcare,25,0915788211
Trần Ngọc Bình,tran.ngoc.binh.1038@thacoindustr.vn,Thaco Industries,Head of Finance,logistics,120,0971714059
Lê Xuân Trang,le.xuan.trang.1039@gmail.com,FPT Software,CFO,education,500,0358315926
Phạm Đức Bình,khong-phai-email,Pharmacity,Marketing Manager,logistics,10,0913983987
Lê Thị Hà,,VNG Corporation,Head of Finance,healthcare,120,0970366203
Hồ Xuân Sơn,ho.xuan.son.1042@cenland.vn,CenLand,CEO,fintech,250,123
,vu.ngoc.quan.1043@gmail.com,Haravan,Operations Manager,healthcare,120,0939877462
"=HYPERLINK(""https://evil.example"",""Click"")",vu.thanh.phuc.1044@cenland.vn,CenLand,CEO,manufacturing,500,0964429793
Bùi Hồng Nam,bui.hong.nam.1045@hoaphat.vn,Hoà Phát,Marketing Manager,education,hai trăm,0351774090
Đặng Thị Quân,dang.thi.quan.1046@haravan.vn,Haravan,CTO,healthcare,250,0900087859
Bùi Minh Bình,bui.minh.binh.1047@fptsoftware.vn,FPT Software,CFO,software,50,0358975993
Phạm Hữu An,pham.huu.an.1048@gmail.com,The Coffee House,Sales Director,software,10,0934188289
Phạm Thanh Giang,pham.thanh.giang.1049@gmail.com,CenLand,Procurement Manager,fintech,25,0869905756
Dương Đức Quân,duong.duc.quan.1050@fptsoftware.vn,FPT Software,Product Manager,ecommerce,500,0970115712
Dương Ngọc Oanh,duong.ngoc.oanh.1051@haravan.vn,Haravan,Head of Finance,fintech,500,0961178778
Nguyễn Hồng Phúc,nguyen.hong.phuc.1052@fptsoftware.vn,FPT Software,Kế toán trưởng,education,25,0904802732
Lý Đức Lan,ly.duc.lan.1053@vngcorporati.vn,VNG Corporation,Kế toán trưởng,logistics,1500,0909088775
Phan Văn Nam,phan.van.nam.1054@viettiengarm.vn,Viet Tien Garment,CEO,logistics,25,0862678780
Hồ Hồng Linh,ho.hong.linh.1055@gmail.com,Haravan,CEO,logistics,10,0350573892
Nguyễn Thị Giang,nguyen.thi.giang.1056@haravan.vn,Haravan,Product Manager,ecommerce,250,0350641159
Lê Quang An,le.quang.an.1057@haravan.vn,Haravan,Marketing Manager,ecommerce,25,0709476540
Nguyễn Đức Khánh,nguyen.duc.khanh.1058@gmail.com,Vinamilk,Sales Director,software,25,0327928023
Lê Đức Bình,le.duc.binh.1059@fptsoftware.vn,FPT Software,CFO,fintech,50,0866573228
Dương Ngọc Quân,khong-phai-email,Gemadept Logistics,Kế toán trưởng,manufacturing,10,0936394275
Ngô Đức Phúc,,Haravan,Sales Director,ecommerce,50,0324248072
Hồ Hữu Linh,ho.huu.linh.1062@momo.vn,MoMo,Head of Finance,education,500,123
,ngo.van.ha.1063@momo.vn,MoMo,Head of Finance,ecommerce,120,0937962169
"=HYPERLINK(""https://evil.example"",""Click"")",pham.huu.chau.1064@hoaphat.vn,Hoà Phát,CFO,ecommerce,120,0353666757
Lê Thị Tuấn,le.thi.tuan.1065@gmail.com,Duy Tan Plastics,CFO,software,hai trăm,0976533008
Nguyễn Thị Việt,nguyen.thi.viet.1066@hoaphat.vn,Hoà Phát,Head of Finance,logistics,120,0904516016
Lê Thị Bình,le.thi.binh.1067@gmail.com,Hoà Phát,CFO,software,50,0931632816
Phạm Hồng Việt,pham.hong.viet.1068@haravan.vn,Haravan,Kế toán trưởng,retail,10,0708749278
Đặng Văn Phúc,dang.van.phuc.1069@pnj.vn,PNJ,Product Manager,software,250,0356071860
Võ Thanh Mai,vo.thanh.mai.1070@gmail.com,Hoà Phát,Head of Finance,retail,10,0937530373
Lý Đức Dũng,ly.duc.dung.1071@pnj.vn,PNJ,Product Manager,ecommerce,25,0962996777
Lý Thanh Nam,ly.thanh.nam.1072@kiotviet.vn,KiotViet,Product Manager,fintech,1500,0915892420
Hồ Minh Oanh,ho.minh.oanh.1073@gmail.com,Tiki,Procurement Manager,education,1500,0704932265
Hoàng Minh Hà,hoang.minh.ha.1074@tiki.vn,Tiki,Sales Director,healthcare,50,0905818529
Hoàng Đức Tâm,hoang.duc.tam.1075@thecoffeehou.vn,The Coffee House,Operations Manager,manufacturing,1500,0963187392
Hoàng Hữu Giang,hoang.huu.giang.1076@cenland.vn,CenLand,Kế toán trưởng,software,1500,0327312206
Phan Thanh Dũng,phan.thanh.dung.1077@gmail.com,Base.vn,Product Manager,retail,50,0327874553
Võ Quang Oanh,vo.quang.oanh.1078@thecoffeehou.vn,The Coffee House,Operations Manager,logistics,120,0359139057
Ngô Hồng Châu,ngo.hong.chau.1079@vngcorporati.vn,VNG Corporation,Marketing Manager,software,25,0915752922
Dương Ngọc Khánh,khong-phai-email,Base.vn,CEO,software,10,0971063585
Phạm Xuân Hà,,Viet Tien Garment,Kế toán trưởng,manufacturing,25,0868355364
Phạm Hồng Quân,pham.hong.quan.1082@cenland.vn,CenLand,CFO,software,1500,123
,ly.van.giang.1083@vinamilk.vn,Vinamilk,CTO,retail,10,0904731379
"=HYPERLINK(""https://evil.example"",""Click"")",ngo.quang.nam.1084@tiki.vn,Tiki,Procurement Manager,healthcare,250,0979320512
Đặng Đức Phúc,dang.duc.phuc.1085@basevn.vn,Base.vn,Sales Director,software,hai trăm,0917312058
Bùi Đức Tâm,bui.duc.tam.1086@gmail.com,Haravan,Sales Director,education,25,0862731973
Phan Minh Quân,phan.minh.quan.1087@gemadeptlogi.vn,Gemadept Logistics,Kế toán trưởng,ecommerce,25,0325241943
Phạm Hữu Việt,pham.huu.viet.1088@gmail.com,VNG Corporation,Sales Director,retail,500,0962484344
Hồ Hồng Dũng,ho.hong.dung.1089@gmail.com,KiotViet,CFO,healthcare,50,0962479592
Ngô Văn Hà,ngo.van.ha.1090@basevn.vn,Base.vn,Marketing Manager,healthcare,500,0352132362
Lê Ngọc An,le.ngoc.an.1091@hoaphat.vn,Hoà Phát,Operations Manager,ecommerce,50,0703642473
Đỗ Thị Giang,do.thi.giang.1092@duytanplasti.vn,Duy Tan Plastics,CTO,logistics,250,0935039665
Vũ Ngọc Lan,vu.ngoc.lan.1093@gmail.com,Vinamilk,Marketing Manager,ecommerce,120,0914093925
Dương Minh Linh,duong.minh.linh.1094@pnj.vn,PNJ,Kế toán trưởng,education,500,0866119941
Hồ Quang Hà,ho.quang.ha.1095@thacoindustr.vn,Thaco Industries,CTO,software,1500,0970485168
Lý Thị Giang,ly.thi.giang.1096@gmail.com,TopCV,Procurement Manager,healthcare,1500,0321524772
Ngô Xuân Lan,ngo.xuan.lan.1097@basevn.vn,Base.vn,Marketing Manager,healthcare,10,0868500754
Đỗ Đức Hùng,do.duc.hung.1098@vinmec.vn,Vinmec,Product Manager,healthcare,500,0861907556
Hồ Thị Phúc,ho.thi.phuc.1099@basevn.vn,Base.vn,Sales Director,manufacturing,50,0909215198
Bùi Quang Dũng,khong-phai-email,Shopee Vietnam,CTO,logistics,25,0916444061
Đặng Thị Tuấn,,Base.vn,CEO,healthcare,50,0868212339
Đặng Xuân Nam,dang.xuan.nam.1102@gmail.com,Gemadept Logistics,Sales Director,education,50,123
,vu.ngoc.hung.1103@viettiengarm.vn,Viet Tien Garment,Product Manager,retail,120,0933976961
"=HYPERLINK(""https://evil.example"",""Click"")",nguyen.van.viet.1104@thecoffeehou.vn,The Coffee House,CTO,education,50,0913121424
Trần Hữu Tâm,tran.huu.tam.1105@vngcorporati.vn,VNG Corporation,CEO,software,hai trăm,0863539336
Hoàng Đức Châu,hoang.duc.chau.1106@hoaphat.vn,Hoà Phát,Head of Finance,healthcare,25,0356527697
Hoàng Thị Oanh,hoang.thi.oanh.1107@gmail.com,Thaco Industries,CFO,software,25,0903100631
Ngô Quang Trang,ngo.quang.trang.1108@cenland.vn,CenLand,Head of Finance,retail,250,0700907819
Đỗ Hồng Phúc,do.hong.phuc.1109@shopeevietna.vn,Shopee Vietnam,Sales Director,education,120,0916634190
Vũ Thanh Phúc,vu.thanh.phuc.1110@hoaphat.vn,Hoà Phát,Marketing Manager,logistics,120,0329903418
Trần Thị Nam,tran.thi.nam.1111@gmail.com,KiotViet,Marketing Manager,education,25,0862174841
Nguyễn Văn Phúc,nguyen.van.phuc.1112@fptsoftware.vn,FPT Software,Sales Director,manufacturing,120,0352911674
Đặng Quang Hùng,dang.quang.hung.1113@viettiengarm.vn,Viet Tien Garment,CFO,healthcare,250,0967959950
Vũ Hồng Bình,vu.hong.binh.1114@gmail.com,VNG Corporation,CEO,healthcare,1500,0917418672
Đặng Xuân Quân,dang.xuan.quan.1115@viettiengarm.vn,Viet Tien Garment,CEO,fintech,500,0327569009
Hồ Minh Oanh,ho.minh.oanh.1116@gmail.com,Vinmec,Procurement Manager,software,1500,0902375821
Hồ Ngọc Tâm,ho.ngoc.tam.1117@shopeevietna.vn,Shopee Vietnam,CEO,healthcare,50,0936170020
Đặng Hồng Dũng,dang.hong.dung.1118@momo.vn,MoMo,Operations Manager,manufacturing,250,0968547284
Phan Minh Oanh,phan.minh.oanh.1119@gmail.com,Vinmec,Sales Director,retail,120,0911712473
Đặng Thị Bình,khong-phai-email,Pharmacity,Operations Manager,retail,50,0964052597
Ngô Quang Khánh,,Pharmacity,CFO,retail,1500,0356636000
Trần Xuân Tâm,tran.xuan.tam.1122@shopeevietna.vn,Shopee Vietnam,CTO,fintech,500,123
,tran.thi.tuan.1123@momo.vn,MoMo,CEO,healthcare,25,0900352121
"=HYPERLINK(""https://evil.example"",""Click"")",ho.van.viet.1124@thecoffeehou.vn,The Coffee House,Product Manager,logistics,250,0919238751
Dương Văn Tuấn,duong.van.tuan.1125@cenland.vn,CenLand,CTO,healthcare,hai trăm,0866990569
Dương Thanh Việt,duong.thanh.viet.1126@thacoindustr.vn,Thaco Industries,CTO,software,50,0976324044
Nguyễn Thị An,nguyen.thi.an.1127@gmail.com,VNG Corporation,Marketing Manager,education,250,0974880549
Đỗ Hồng Dũng,do.hong.dung.1128@gmail.com,Thaco Industries,Sales Director,software,25,0919660757
Bùi Hồng An,bui.hong.an.1129@vinamilk.vn,Vinamilk,Operations Manager,ecommerce,500,0351164727
Phạm Thị Tâm,pham.thi.tam.1130@viettiengarm.vn,Viet Tien Garment,Product Manager,healthcare,250,0357608728
Bùi Văn Dũng,bui.van.dung.1131@vinmec.vn,Vinmec,CTO,software,250,0709133519
Nguyễn Hồng Trang,nguyen.hong.trang.1132@topcv.vn,TopCV,Head of Finance,logistics,250,0357759241
Đỗ Ngọc Quân,do.ngoc.quan.1133@haravan.vn,Haravan,CEO,education,120,0900180443
Nguyễn Văn Sơn,nguyen.van.son.1134@fptsoftware.vn,FPT Software,Procurement Manager,fintech,25,0971619812
Đặng Đức Lan,dang.duc.lan.1135@pharmacity.vn,Pharmacity,CFO,ecommerce,1500,0975570216
Bùi Văn Giang,bui.van.giang.1136@vngcorporati.vn,VNG Corporation,CTO,ecommerce,500,0862730130
Dương Hữu Tâm,duong.huu.tam.1137@tiki.vn,Tiki,Sales Director,software,250,0964088810
Đỗ Hữu Lan,do.huu.lan.1138@viettiengarm.vn,Viet Tien Garment,Marketing Manager,manufacturing,50,0860151174
Ngô Xuân Nam,ngo.xuan.nam.1139@hoaphat.vn,Hoà Phát,Operations Manager,fintech,500,0930346254
Vũ Minh Tâm,khong-phai-email,Haravan,Sales Director,software,1500,0930605881
Nguyễn Minh Khánh,,CenLand,CTO,ecommerce,250,0356254015
Dương Minh Hà,duong.minh.ha.1142@tiki.vn,Tiki,CTO,fintech,1500,123
,do.thi.ha.1143@vinamilk.vn,Vinamilk,Product Manager,healthcare,250,0937590760
"=HYPERLINK(""https://evil.example"",""Click"")",nguyen.van.viet.1144@hoaphat.vn,Hoà Phát,Marketing Manager,education,10,0326418084
Đỗ Quang Khánh,do.quang.khanh.1145@gmail.com,MoMo,Kế toán trưởng,ecommerce,hai trăm,0861034474
Bùi Thanh Tuấn,bui.thanh.tuan.1146@gmail.com,Shopee Vietnam,CTO,healthcare,120,0907122477
Đỗ Xuân Hùng,do.xuan.hung.1147@vngcorporati.vn,VNG Corporation,CTO,healthcare,1500,0976768964
Vũ Văn Tuấn,vu.van.tuan.1148@gmail.com,Vinmec,CEO,manufacturing,1500,0869347371
Bùi Ngọc Trang,bui.ngoc.trang.1149@gmail.com,Viet Tien Garment,CTO,ecommerce,120,0700362282
Đặng Hữu Lan,dang.huu.lan.1150@duytanplasti.vn,Duy Tan Plastics,Operations Manager,healthcare,250,0353598362
Đặng Hồng Trang,dang.hong.trang.1151@tiki.vn,Tiki,Head of Finance,ecommerce,250,0868193266
Dương Đức Châu,duong.duc.chau.1152@fptsoftware.vn,FPT Software,Sales Director,logistics,250,0901431166
Ngô Đức Hùng,ngo.duc.hung.1153@vngcorporati.vn,VNG Corporation,Marketing Manager,logistics,120,0909592835
Vũ Đức Hùng,vu.duc.hung.1154@thacoindustr.vn,Thaco Industries,Product Manager,fintech,10,0701386833
Dương Hồng Khánh,duong.hong.khanh.1155@vinamilk.vn,Vinamilk,Marketing Manager,fintech,1500,0704084611
Hoàng Xuân Tâm,hoang.xuan.tam.1156@vinamilk.vn,Vinamilk,Marketing Manager,logistics,25,0703878239
Lê Thanh Dũng,le.thanh.dung.1157@fptsoftware.vn,FPT Software,Kế toán trưởng,healthcare,120,0935019790
Dương Hữu Nam,duong.huu.nam.1158@thacoindustr.vn,Thaco Industries,Product Manager,software,120,0863766510
Phạm Hữu Bình,pham.huu.binh.1159@fptsoftware.vn,FPT Software,Marketing Manager,ecommerce,500,0703834977
Lý Quang Bình,khong-phai-email,Vinmec,Procurement Manager,healthcare,120,0864887596
Lê Thị Lan,,PNJ,Procurement Manager,manufacturing,250,0931566097
Dương Ngọc Dũng,duong.ngoc.dung.1162@gmail.com,TopCV,Marketing Manager,healthcare,250,123
,pham.minh.binh.1163@haravan.vn,Haravan,CEO,fintech,25,0358581981
"=HYPERLINK(""https://evil.example"",""Click"")",phan.minh.hung.1164@gmail.com,Viet Tien Garment,Kế toán trưởng,fintech,250,0328894261
Lê Hữu Quân,le.huu.quan.1165@gmail.com,Tiki,Product Manager,healthcare,hai trăm,0353615360
Trần Thị An,tran.thi.an.1166@vinmec.vn,Vinmec,Procurement Manager,manufacturing,1500,0974056200
Lý Đức Tuấn,ly.duc.tuan.1167@basevn.vn,Base.vn,Procurement Manager,fintech,120,0969670330
Hồ Ngọc Sơn,ho.ngoc.son.1168@cenland.vn,CenLand,Kế toán trưởng,software,10,0915240807
Lê Đức Châu,le.duc.chau.1169@haravan.vn,Haravan,Marketing Manager,ecommerce,1500,0913301181
Dương Hồng Hùng,duong.hong.hung.1170@tiki.vn,Tiki,Procurement Manager,retail,1500,0933160916
Phan Thanh Bình,phan.thanh.binh.1171@gmail.com,MoMo,Kế toán trưởng,retail,250,0326284615
Nguyễn Văn Trang,nguyen.van.trang.1172@pnj.vn,PNJ,CEO,retail,10,0911870834
Lê Thanh Dũng,le.thanh.dung.1173@gmail.com,Thaco Industries,Kế toán trưởng,software,10,0325640665
Trần Đức Nam,tran.duc.nam.1174@vinmec.vn,Vinmec,Head of Finance,education,1500,0931900564
Võ Đức Giang,vo.duc.giang.1175@gemadeptlogi.vn,Gemadept Logistics,CEO,ecommerce,50,0936165126
Đặng Thị Hà,dang.thi.ha.1176@kiotviet.vn,KiotViet,CTO,retail,120,0709660310
Lê Thanh Việt,le.thanh.viet.1177@pharmacity.vn,Pharmacity,Marketing Manager,logistics,500,0930509149
Võ Văn Phúc,vo.van.phuc.1178@gmail.com,CenLand,Operations Manager,education,25,0912580506
Lý Văn Việt,ly.van.viet.1179@gmail.com,TopCV,Sales Director,education,25,0865300049
Hoàng Hồng Quân,khong-phai-email,Shopee Vietnam,Operations Manager,education,500,0323099008
Phạm Thanh Nam,,Shopee Vietnam,CTO,software,25,0934319461
Phạm Thị Linh,pham.thi.linh.1182@basevn.vn,Base.vn,CFO,healthcare,1500,123
,tran.ngoc.tuan.1183@gmail.com,Base.vn,Kế toán trưởng,healthcare,25,0900103602
"=HYPERLINK(""https://evil.example"",""Click"")",phan.van.tam.1184@topcv.vn,TopCV,Kế toán trưởng,fintech,120,0916145474
Lý Minh Phúc,ly.minh.phuc.1185@tiki.vn,Tiki,Head of Finance,manufacturing,hai trăm,0916193245
Lê Ngọc Tâm,le.ngoc.tam.1186@vinmec.vn,Vinmec,Kế toán trưởng,software,1500,0912496038
Đỗ Đức Oanh,do.duc.oanh.1187@topcv.vn,TopCV,Product Manager,logistics,500,0867497762
Võ Thị Việt,vo.thi.viet.1188@gmail.com,KiotViet,CTO,fintech,10,0911527194
Phạm Thanh Tuấn,pham.thanh.tuan.1189@gmail.com,MoMo,CFO,education,250,0707089175
Lê Thị Việt,le.thi.viet.1190@hoaphat.vn,Hoà Phát,Sales Director,fintech,10,0934540513
Nguyễn Quang Sơn,nguyen.quang.son.1191@gemadeptlogi.vn,Gemadept Logistics,Product Manager,education,120,0962232861
Dương Thị Trang,duong.thi.trang.1192@gmail.com,Base.vn,Head of Finance,logistics,25,0352496492
Hồ Minh Tâm,ho.minh.tam.1193@topcv.vn,TopCV,Product Manager,retail,10,0931568668
Ngô Thị Trang,ngo.thi.trang.1194@pnj.vn,PNJ,Sales Director,retail,10,0324807478
Bùi Hữu Phúc,bui.huu.phuc.1195@pnj.vn,PNJ,Head of Finance,healthcare,25,0702607776
Ngô Hồng Châu,ngo.hong.chau.1196@vngcorporati.vn,VNG Corporation,Sales Director,fintech,1500,0328666831
Đỗ Thanh Trang,do.thanh.trang.1197@haravan.vn,Haravan,CFO,manufacturing,50,0938750252
Ngô Xuân Phúc,ngo.xuan.phuc.1198@gmail.com,Vinmec,Operations Manager,retail,120,0970399187
Võ Hữu Phúc,vo.huu.phuc.1199@hoaphat.vn,Hoà Phát,Procurement Manager,retail,10,0979327990
Lê Hữu Phúc,khong-phai-email,VNG Corporation,Marketing Manager,fintech,25,0963029319
Nguyễn Ngọc Dũng,,Vinamilk,Operations Manager,retail,120,0974911161
Bùi Xuân Quân,bui.xuan.quan.1202@hoaphat.vn,Hoà Phát,CFO,software,1500,123
,vu.thi.tam.1203@duytanplasti.vn,Duy Tan Plastics,Sales Director,ecommerce,50,0866830060
"=HYPERLINK(""https://evil.example"",""Click"")",ho.huu.son.1204@vinamilk.vn,Vinamilk,Operations Manager,education,1500,0964339024
Lê Minh An,le.minh.an.1205@hoaphat.vn,Hoà Phát,Operations Manager,software,hai trăm,0862195753
Vũ Thanh Linh,vu.thanh.linh.1206@gmail.com,Duy Tan Plastics,Procurement Manager,fintech,25,0972959456
Lý Đức Tâm,ly.duc.tam.1207@hoaphat.vn,Hoà Phát,Kế toán trưởng,ecommerce,10,0965971740
Bùi Hồng Bình,bui.hong.binh.1208@hoaphat.vn,Hoà Phát,Kế toán trưởng,ecommerce,1500,0902413382
Phạm Đức Châu,pham.duc.chau.1209@pnj.vn,PNJ,CEO,fintech,1500,0913984758
Vũ Thanh Bình,vu.thanh.binh.1210@vngcorporati.vn,VNG Corporation,Sales Director,logistics,500,0907645557
Nguyễn Hữu Nam,nguyen.huu.nam.1211@gmail.com,Thaco Industries,Kế toán trưởng,ecommerce,250,0860741573
Phan Thị Linh,phan.thi.linh.1212@momo.vn,MoMo,Kế toán trưởng,healthcare,10,0900315448
Lý Thanh Hùng,ly.thanh.hung.1213@topcv.vn,TopCV,Head of Finance,logistics,500,0901957751
Hồ Hữu Châu,ho.huu.chau.1214@tiki.vn,Tiki,CTO,manufacturing,10,0900319896
Ngô Thanh Dũng,ngo.thanh.dung.1215@gmail.com,Hoà Phát,Sales Director,software,10,0962861489
Nguyễn Quang Hùng,nguyen.quang.hung.1216@vinmec.vn,Vinmec,Procurement Manager,logistics,10,0918175914
Hoàng Quang Hà,hoang.quang.ha.1217@pharmacity.vn,Pharmacity,Marketing Manager,retail,500,0702333585
Ngô Hồng Việt,ngo.hong.viet.1218@gmail.com,Haravan,Kế toán trưởng,logistics,500,0704637197
Hồ Hồng Trang,ho.hong.trang.1219@viettiengarm.vn,Viet Tien Garment,Operations Manager,software,120,0326604759
Ngô Ngọc Quân,khong-phai-email,VNG Corporation,Kế toán trưởng,logistics,10,0324352119
Hoàng Minh Khánh,,Haravan,Operations Manager,manufacturing,500,0973369710
Vũ Thị An,vu.thi.an.1222@fptsoftware.vn,FPT Software,CEO,logistics,50,123
,ho.thanh.khanh.1223@topcv.vn,TopCV,Sales Director,software,50,0977110186
"=HYPERLINK(""https://evil.example"",""Click"")",phan.huu.khanh.1224@vinmec.vn,Vinmec,Marketing Manager,logistics,500,0960227388
Phan Đức Giang,phan.duc.giang.1225@thacoindustr.vn,Thaco Industries,Operations Manager,retail,hai trăm,0901865156
Nguyễn Văn Nam,nguyen.van.nam.1226@gmail.com,Hoà Phát,Marketing Manager,healthcare,500,0861457812
Lê Văn Nam,le.van.nam.1227@pnj.vn,PNJ,CFO,software,50,0977943998
Phan Văn An,phan.van.an.1228@vinamilk.vn,Vinamilk,Sales Director,software,500,0901006149
Ngô Hồng Giang,ngo.hong.giang.1229@fptsoftware.vn,FPT Software,Kế toán trưởng,logistics,1500,0706363761
Phạm Hồng Linh,pham.hong.linh.1230@cenland.vn,CenLand,Procurement Manager,retail,1500,0359849797
Nguyễn Ngọc Dũng,nguyen.ngoc.dung.1231@gmail.com,Shopee Vietnam,Sales Director,manufacturing,500,0359029628
Võ Thị Bình,vo.thi.binh.1232@gmail.com,Viet Tien Garment,Head of Finance,ecommerce,250,0352302310
Hoàng Quang Phúc,hoang.quang.phuc.1233@thecoffeehou.vn,The Coffee House,Marketing Manager,education,50,0703972411
Phạm Hữu Tâm,pham.huu.tam.1234@gmail.com,Viet Tien Garment,Procurement Manager,fintech,50,0934950362
Nguyễn Xuân Khánh,nguyen.xuan.khanh.1235@gemadeptlogi.vn,Gemadept Logistics,Sales Director,retail,10,0866825504
Võ Hữu An,vo.huu.an.1236@vinmec.vn,Vinmec,Product Manager,education,10,0912127404
Đỗ Minh Oanh,do.minh.oanh.1237@vngcorporati.vn,VNG Corporation,Head of Finance,fintech,120,0866012112
Lê Thị Oanh,le.thi.oanh.1238@fptsoftware.vn,FPT Software,Procurement Manager,software,120,0707970645
Bùi Ngọc Oanh,bui.ngoc.oanh.1239@gmail.com,Gemadept Logistics,Procurement Manager,fintech,250,0905257102
Phan Văn Lan,khong-phai-email,Duy Tan Plastics,CFO,education,10,0702933718
Đỗ Xuân Dũng,,TopCV,CEO,software,120,0867167013
Hồ Thị Hà,ho.thi.ha.1242@gmail.com,FPT Software,CTO,ecommerce,500,123
,ly.quang.khanh.1243@shopeevietna.vn,Shopee Vietnam,Kế toán trưởng,education,250,0867661464
"=HYPERLINK(""https://evil.example"",""Click"")",ngo.thanh.trang.1244@viettiengarm.vn,Viet Tien Garment,Procurement Manager,fintech,50,0937575943
Hoàng Thanh Phúc,hoang.thanh.phuc.1245@basevn.vn,Base.vn,Kế toán trưởng,logistics,hai trăm,0328425262
Phạm Hữu Quân,pham.huu.quan.1246@pharmacity.vn,Pharmacity,Product Manager,retail,1500,0701733530
Nguyễn Thị Trang,nguyen.thi.trang.1247@gmail.com,PNJ,Product Manager,logistics,250,0323538000
Lê Xuân Dũng,le.xuan.dung.1248@gmail.com,MoMo,Product Manager,ecommerce,500,0701470626
Ngô Hữu Tâm,ngo.huu.tam.1249@basevn.vn,Base.vn,Operations Manager,education,1500,0357393070
Hồ Hồng Khánh,ho.hong.khanh.1250@gemadeptlogi.vn,Gemadept Logistics,Procurement Manager,education,50,0965742115
