full_name,email,company,title,industry,company_size,phone
Hồ Văn Phúc,ho.van.phuc.62@fptsoftware.vn,FPT Software,Sales Director,logistics,10,0905382315
Lý Đức Sơn,ly.duc.son.63@momo.vn,MoMo,Sales Director,fintech,500,0701125983
Nguyễn Hồng Nam,nguyen.hong.nam.64@shopeevietna.vn,Shopee Vietnam,Product Manager,fintech,50,0701117106
Hồ Xuân Lan,ho.xuan.lan.65@gmail.com,Pharmacity,Head of Finance,ecommerce,120,0911934933
Đặng Văn An,dang.van.an.66@topcv.vn,TopCV,CEO,ecommerce,250,0355282719
Hồ Hồng Lan,ho.hong.lan.67@gemadeptlogi.vn,Gemadept Logistics,Sales Director,logistics,10,0967495384
Đặng Thanh Tuấn,dang.thanh.tuan.68@shopeevietna.vn,Shopee Vietnam,Sales Director,ecommerce,50,0869539004
Đặng Văn Dũng,dang.van.dung.69@gmail.com,VNG Corporation,CTO,software,10,0961741673
Nguyễn Thanh Sơn,nguyen.thanh.son.70@thecoffeehou.vn,The Coffee House,Sales Director,ecommerce,25,0908521272
Nguyễn Minh Hùng,nguyen.minh.hung.71@vinmec.vn,Vinmec,Head of Finance,healthcare,500,0912407729
Đặng Đức Oanh,dang.duc.oanh.72@vinmec.vn,Vinmec,Product Manager,healthcare,50,0960411801
Bùi Hồng Lan,bui.hong.lan.73@gmail.com,Viet Tien Garment,CFO,retail,10,0359880498
Đặng Thanh Hà,dang.thanh.ha.74@gmail.com,Haravan,Product Manager,ecommerce,1500,0907506766
Đỗ Xuân Khánh,do.xuan.khanh.75@thacoindustr.vn,Thaco Industries,CFO,healthcare,25,0966730557
Phạm Hữu Sơn,pham.huu.son.76@thecoffeehou.vn,The Coffee House,Marketing Manager,retail,1500,0936771397
Lê Quang Tâm,le.quang.tam.77@thecoffeehou.vn,The Coffee House,CTO,fintech,10,0910774811
Bùi Hồng Châu,bui.hong.chau.78@pharmacity.vn,Pharmacity,Marketing Manager,ecommerce,250,0903655039
Lý Hữu Bình,ly.huu.binh.79@gmail.com,VNG Corporation,Procurement Manager,fintech,25,0937580081
Đỗ Thanh Giang,do.thanh.giang.80@haravan.vn,Haravan,CEO,healthcare,10,0916194015
Dương Đức Khánh,duong.duc.khanh.81@gemadeptlogi.vn,Gemadept Logistics,Operations Manager,ecommerce,50,0709491895
Đỗ Văn Tâm,do.van.tam.82@vinmec.vn,Vinmec,Sales Director,fintech,500,0976162701
Phạm Quang Tuấn,pham.quang.tuan.83@fptsoftware.vn,FPT Software,CEO,manufacturing,50,0914326292
Lý Thị Việt,ly.thi.viet.84@gmail.com,VNG Corporation,CEO,logistics,25,0936054193
Hoàng Thanh Tuấn,hoang.thanh.tuan.85@gmail.com,Shopee Vietnam,Product Manager,manufacturing,120,0978475058
Võ Minh An,vo.minh.an.86@cenland.vn,CenLand,Kế toán trưởng,ecommerce,50,0962402484
Đặng Hữu Tâm,dang.huu.tam.87@cenland.vn,CenLand,Sales Director,fintech,10,0900660845
Trần Hữu Bình,tran.huu.binh.88@shopeevietna.vn,Shopee Vietnam,Head of Finance,retail,1500,0906486887
Trần Hồng Sơn,tran.hong.son.89@duytanplasti.vn,Duy Tan Plastics,Head of Finance,software,500,0936036131
Dương Xuân Oanh,duong.xuan.oanh.90@hoaphat.vn,Hoà Phát,CFO,logistics,10,0321092966
Đỗ Ngọc Giang,do.ngoc.giang.91@thacoindustr.vn,Thaco Industries,CEO,healthcare,10,0978276617
Ngô Thị Trang,ngo.thi.trang.92@thacoindustr.vn,Thaco Industries,Product Manager,healthcare,10,0359814533
Trần Văn Hùng,tran.van.hung.93@vinamilk.vn,Vinamilk,Product Manager,software,50,0708160926
Võ Hồng Giang,vo.hong.giang.94@gmail.com,Base.vn,Marketing Manager,manufacturing,250,0976955654
Phạm Hồng Giang,pham.hong.giang.95@vinmec.vn,Vinmec,Procurement Manager,education,25,0902511930
Võ Thanh Linh,vo.thanh.linh.96@tiki.vn,Tiki,CEO,logistics,1500,0905861040
Ngô Hồng Hùng,ngo.hong.hung.97@gmail.com,Duy Tan Plastics,Sales Director,retail,10,0706143969
Hồ Xuân Hùng,ho.xuan.hung.98@viettiengarm.vn,Viet Tien Garment,Procurement Manager,logistics,120,0916660258
Phạm Hữu Trang,pham.huu.trang.99@vngcorporati.vn,VNG Corporation,Kế toán trưởng,fintech,25,0960643894
Hoàng Thanh Lan,hoang.thanh.lan.100@gmail.com,The Coffee House,CTO,software,25,0909659671
Hoàng Thanh Tâm,hoang.thanh.tam.101@haravan.vn,Haravan,CFO,ecommerce,250,0869502691
Ngô Hữu Bình,ngo.huu.binh.102@pharmacity.vn,Pharmacity,Procurement Manager,logistics,250,0707439231
Phan Hồng Dũng,phan.hong.dung.103@vinamilk.vn,Vinamilk,Kế toán trưởng,education,120,0937541913
Đặng Ngọc Hùng,dang.ngoc.hung.104@tiki.vn,Tiki,Product Manager,manufacturing,1500,0938068285
Hoàng Văn Phúc,hoang.van.phuc.105@basevn.vn,Base.vn,CTO,software,10,0321252447
Vũ Đức Trang,vu.duc.trang.106@momo.vn,MoMo,Marketing Manager,ecommerce,500,0354318923
Bùi Xuân Tâm,bui.xuan.tam.107@duytanplasti.vn,Duy Tan Plastics,Marketing Manager,software,120,0353245077
Phạm Đức Dũng,pham.duc.dung.108@vinamilk.vn,Vinamilk,Kế toán trưởng,healthcare,25,0935116362
Hoàng Hữu Nam,hoang.huu.nam.109@tiki.vn,Tiki,CTO,software,120,0912014134
Lê Thị Châu,le.thi.chau.110@pharmacity.vn,Pharmacity,Head of Finance,education,500,0358516482
Đỗ Văn Khánh,do.van.khanh.111@gmail.com,KiotViet,Procurement Manager,education,25,0359536356
Hoàng Thanh Mai,hoang.thanh.mai.112@gmail.com,Gemadept Logistics,Operations Manager,fintech,120,0970750879
Đỗ Hồng Sơn,do.hong.son.113@basevn.vn,Base.vn,Kế toán trưởng,ecommerce,1500,0975332974
Đặng Hữu Khánh,dang.huu.khanh.114@haravan.vn,Haravan,Head of Finance,education,1500,0706519857
Dương Minh Nam,duong.minh.nam.115@gmail.com,Thaco Industries,CTO,healthcare,1500,0905676566
Trần Thị Hà,tran.thi.ha.116@pharmacity.vn,Pharmacity,Marketing Manager,healthcare,10,0912971019
Vũ Hữu Tâm,vu.huu.tam.117@thacoindustr.vn,Thaco Industries,CFO,retail,1500,0863473224
Phạm Xuân Phúc,pham.xuan.phuc.118@pharmacity.vn,Pharmacity,Head of Finance,fintech,25,0706147889
Võ Thanh Bình,vo.thanh.binh.119@vinmec.vn,Vinmec,CFO,ecommerce,250,0933371017
Nguyễn Hồng Mai,nguyen.hong.mai.120@basevn.vn,Base.vn,Sales Director,software,50,0961530136
Ngô Quang An,ngo.quang.an.121@topcv.vn,TopCV,CEO,ecommerce,10,0321946330
Ngô Đức Giang,ngo.duc.giang.122@gmail.com,Base.vn,Kế toán trưởng,ecommerce,1500,0702805821
Hồ Thanh Trang,ho.thanh.trang.123@gmail.com,MoMo,CEO,ecommerce,10,0320450693
Võ Minh Trang,vo.minh.trang.124@thecoffeehou.vn,The Coffee House,Kế toán trưởng,ecommerce,10,0909541906
Đặng Xuân Quân,dang.xuan.quan.125@vinmec.vn,Vinmec,Head of Finance,education,10,0937860894
Phan Minh Oanh,phan.minh.oanh.126@gmail.com,MoMo,Product Manager,retail,120,0930007799
Lê Văn Phúc,le.van.phuc.127@haravan.vn,Haravan,Head of Finance,manufacturing,50,0935198896
Dương Xuân Linh,duong.xuan.linh.128@fptsoftware.vn,FPT Software,Sales Director,logistics,1500,0320088401
Trần Ngọc Lan,tran.ngoc.lan.129@pnj.vn,PNJ,CFO,retail,250,0961413419
Đỗ Ngọc Việt,do.ngoc.viet.130@gmail.com,Haravan,Product Manager,retail,250,0703522022
Hồ Hồng Sơn,ho.hong.son.131@gmail.com,Haravan,Sales Director,ecommerce,500,0962717306
Bùi Văn Linh,bui.van.linh.132@pnj.vn,PNJ,CTO,retail,1500,0907342449
Dương Ngọc Trang,duong.ngoc.trang.133@basevn.vn,Base.vn,Procurement Manager,software,500,0321666093
Ngô Thị Oanh,ngo.thi.oanh.134@vngcorporati.vn,VNG Corporation,Marketing Manager,manufacturing,500,0970003938
Bùi Xuân Phúc,bui.xuan.phuc.135@shopeevietna.vn,Shopee Vietnam,Head of Finance,healthcare,10,0911714552
Dương Quang Dũng,duong.quang.dung.136@gmail.com,Gemadept Logistics,Marketing Manager,fintech,1500,0903254446
Phạm Minh Hà,pham.minh.ha.137@tiki.vn,Tiki,Product Manager,healthcare,1500,0907088494
Đặng Minh Tâm,dang.minh.tam.138@gemadeptlogi.vn,Gemadept Logistics,Head of Finance,education,10,0320205921
Võ Văn Khánh,vo.van.khanh.139@gmail.com,Vinamilk,Procurement Manager,manufacturing,250,0919140113
Trần Quang Nam,tran.quang.nam.140@momo.vn,MoMo,CEO,retail,500,0320001593
Hồ Đức Trang,ho.duc.trang.141@gmail.com,Base.vn,CTO,software,10,0867164092
Đặng Minh Linh,dang.minh.linh.142@thacoindustr.vn,Thaco Industries,CFO,logistics,120,0935282081
Đỗ Hữu Quân,do.huu.quan.143@gmail.com,Pharmacity,Kế toán trưởng,logistics,10,0866655112
Nguyễn Thanh Dũng,nguyen.thanh.dung.144@gmail.com,Pharmacity,Kế toán trưởng,education,250,0967419872
Võ Văn An,vo.van.an.145@pharmacity.vn,Pharmacity,CFO,education,120,0321442187
Đặng Đức Oanh,dang.duc.oanh.146@gmail.com,Vinamilk,Marketing Manager,logistics,1500,0700300420
Bùi Ngọc Tâm,bui.ngoc.tam.147@gmail.com,VNG Corporation,CEO,manufacturing,1500,0917458337
Lê Thị Lan,le.thi.lan.148@basevn.vn,Base.vn,CFO,healthcare,50,0937879148
Lý Thị Quân,ly.thi.quan.149@shopeevietna.vn,Shopee Vietnam,Operations Manager,education,10,0939552421
Hoàng Hồng Mai,hoang.hong.mai.150@hoaphat.vn,Hoà Phát,Head of Finance,education,1500,0862673487
Đỗ Văn Bình,do.van.binh.151@vinmec.vn,Vinmec,CTO,software,25,0323616182
Nguyễn Hữu Hùng,nguyen.huu.hung.152@gmail.com,Vinamilk,CFO,manufacturing,50,0972405687
Trần Minh Sơn,tran.minh.son.153@gmail.com,CenLand,CEO,manufacturing,120,0912372882
Ngô Văn Khánh,ngo.van.khanh.154@vngcorporati.vn,VNG Corporation,CFO,education,500,0963914561
Hoàng Thị Sơn,hoang.thi.son.155@cenland.vn,CenLand,Head of Finance,software,1500,0902036950
Dương Văn Giang,duong.van.giang.156@shopeevietna.vn,Shopee Vietnam,Head of Finance,education,120,0977229636
Hồ Xuân Mai,ho.xuan.mai.157@gmail.com,TopCV,Head of Finance,healthcare,1500,0902233242
Đỗ Văn Trang,do.van.trang.158@momo.vn,MoMo,Marketing Manager,healthcare,120,0936145184
Võ Thanh Tuấn,vo.thanh.tuan.159@gmail.com,Tiki,CTO,healthcare,120,0351916083
Bùi Hồng Giang,bui.hong.giang.160@gmail.com,PNJ,Operations Manager,manufacturing,25,0964136597
Ngô Thị Mai,ngo.thi.mai.161@gmail.com,Shopee Vietnam,Kế toán trưởng,retail,50,0963949969
Lý Hữu Quân,ly.huu.quan.162@gmail.com,Shopee Vietnam,CEO,fintech,120,0967363272
Võ Đức Oanh,vo.duc.oanh.163@gmail.com,MoMo,Marketing Manager,manufacturing,250,0907099836
Lý Xuân Phúc,ly.xuan.phuc.164@gmail.com,FPT Software,Marketing Manager,manufacturing,120,0913839156
Đỗ Hữu Sơn,do.huu.son.165@gmail.com,Viet Tien Garment,CEO,fintech,25,0355755187
Hồ Ngọc Khánh,ho.ngoc.khanh.166@vinamilk.vn,Vinamilk,Kế toán trưởng,retail,250,0321702382
Ngô Hồng Phúc,ngo.hong.phuc.167@haravan.vn,Haravan,Marketing Manager,software,500,0978799670
Hồ Xuân Việt,ho.xuan.viet.168@duytanplasti.vn,Duy Tan Plastics,Operations Manager,retail,120,0864103450
Đặng Ngọc Sơn,dang.ngoc.son.169@cenland.vn,CenLand,Procurement Manager,software,500,0353410335
Phan Hữu Châu,phan.huu.chau.170@viettiengarm.vn,Viet Tien Garment,CFO,healthcare,120,0908256778
Hồ Thị Nam,ho.thi.nam.171@gmail.com,PNJ,Head of Finance,education,120,0964578223
Ngô Ngọc Hùng,ngo.ngoc.hung.172@viettiengarm.vn,Viet Tien Garment,Product Manager,retail,1500,0973837534
Dương Đức Bình,duong.duc.binh.173@gmail.com,Pharmacity,CFO,manufacturing,500,0861295832
Dương Đức Hà,duong.duc.ha.174@basevn.vn,Base.vn,CTO,ecommerce,25,0976505714
Lý Hữu Linh,ly.huu.linh.175@gmail.com,Haravan,CEO,fintech,120,0971448994
Ngô Thanh Châu,ngo.thanh.chau.176@vngcorporati.vn,VNG Corporation,Marketing Manager,logistics,120,0326714343
Trần Xuân Mai,tran.xuan.mai.177@gmail.com,The Coffee House,CEO,fintech,1500,0977070959
Bùi Thanh Dũng,bui.thanh.dung.178@topcv.vn,TopCV,Marketing Manager,logistics,1500,0356547871
Phạm Thanh Nam,pham.thanh.nam.179@pharmacity.vn,Pharmacity,Procurement Manager,retail,500,0701306901
Phạm Xuân Khánh,pham.xuan.khanh.180@momo.vn,MoMo,CFO,ecommerce,120,0352509159
Hoàng Đức Quân,hoang.duc.quan.181@gmail.com,PNJ,Sales Director,education,250,0936916461
Phạm Minh Tâm,pham.minh.tam.182@basevn.vn,Base.vn,Operations Manager,fintech,50,0973561174
Lê Văn Lan,le.van.lan.183@gmail.com,Viet Tien Garment,Product Manager,software,250,0355235843
Vũ Ngọc Hà,vu.ngoc.ha.184@momo.vn,MoMo,CTO,education,250,0863807347
Bùi Quang Hà,bui.quang.ha.185@duytanplasti.vn,Duy Tan Plastics,CFO,manufacturing,500,0903764104
Đỗ Đức Việt,do.duc.viet.186@topcv.vn,TopCV,Operations Manager,ecommerce,1500,0960949114
Dương Văn Mai,duong.van.mai.187@duytanplasti.vn,Duy Tan Plastics,Head of Finance,healthcare,120,0356835238
Lý Minh Sơn,ly.minh.son.188@hoaphat.vn,Hoà Phát,Kế toán trưởng,ecommerce,25,0970826539
Ngô Xuân Châu,ngo.xuan.chau.189@pnj.vn,PNJ,CEO,logistics,500,0865028166
Vũ Xuân Châu,vu.xuan.chau.190@topcv.vn,TopCV,Procurement Manager,manufacturing,25,0965086369
Bùi Quang Phúc,bui.quang.phuc.191@duytanplasti.vn,Duy Tan Plastics,CFO,software,50,0968080349
Lý Văn Dũng,ly.van.dung.192@gmail.com,Vinamilk,Product Manager,retail,50,0326884795
Đỗ Quang Khánh,do.quang.khanh.193@gmail.com,Shopee Vietnam,Kế toán trưởng,ecommerce,120,0357755678
Phạm Hữu Dũng,pham.huu.dung.194@fptsoftware.vn,FPT Software,CFO,education,50,0968709269
Ngô Quang Việt,ngo.quang.viet.195@gmail.com,Vinmec,Product Manager,retail,50,0961551428
Lê Thanh Oanh,le.thanh.oanh.196@topcv.vn,TopCV,CFO,software,25,0702520494
Phan Hồng Khánh,phan.hong.khanh.197@shopeevietna.vn,Shopee Vietnam,Product Manager,fintech,10,0351128993
Dương Văn Linh,duong.van.linh.198@gemadeptlogi.vn,Gemadept Logistics,Product Manager,education,120,0357133983
Lý Văn Hùng,ly.van.hung.199@shopeevietna.vn,Shopee Vietnam,Product Manager,education,10,0937286675
Lê Hữu Nam,le.huu.nam.200@gmail.com,CenLand,CTO,retail,500,0967006933
Phan Hồng Khánh,phan.hong.khanh.201@basevn.vn,Base.vn,CEO,education,500,0868727538
Võ Ngọc Quân,vo.ngoc.quan.202@thecoffeehou.vn,The Coffee House,Sales Director,healthcare,250,0979669606
Bùi Xuân Trang,bui.xuan.trang.203@cenland.vn,CenLand,Operations Manager,healthcare,120,0935886420
Vũ Hồng Trang,vu.hong.trang.204@gemadeptlogi.vn,Gemadept Logistics,Head of Finance,software,50,0327946771
Dương Xuân Phúc,duong.xuan.phuc.205@tiki.vn,Tiki,Marketing Manager,fintech,250,0910775131
Phạm Văn Phúc,pham.van.phuc.206@duytanplasti.vn,Duy Tan Plastics,Marketing Manager,fintech,1500,0321548706
Nguyễn Quang Tâm,nguyen.quang.tam.207@momo.vn,MoMo,Head of Finance,software,1500,0352237950
Nguyễn Đức Sơn,nguyen.duc.son.208@momo.vn,MoMo,CEO,ecommerce,250,0350122371
Phạm Quang Sơn,pham.quang.son.209@gmail.com,Duy Tan Plastics,Sales Director,logistics,120,0701579073
Hồ Hồng Sơn,ho.hong.son.210@momo.vn,MoMo,Kế toán trưởng,education,50,0913694397
Vũ Thanh Hà,vu.thanh.ha.211@pnj.vn,PNJ,CFO,software,25,0707481770
Ngô Xuân Linh,ngo.xuan.linh.212@pnj.vn,PNJ,Head of Finance,software,120,0705294151
Bùi Thanh Dũng,bui.thanh.dung.213@kiotviet.vn,KiotViet,CFO,education,500,0915536443
Đặng Văn Oanh,dang.van.oanh.214@gmail.com,Tiki,Procurement Manager,fintech,250,0939939923
Lê Đức Mai,le.duc.mai.215@hoaphat.vn,Hoà Phát,CTO,retail,1500,0966275906
Vũ Minh Hùng,vu.minh.hung.216@gmail.com,Pharmacity,Marketing Manager,software,1500,0706534658
Hoàng Hữu Hùng,hoang.huu.hung.217@gmail.com,Tiki,CFO,healthcare,500,0353236153
Hồ Thanh Châu,ho.thanh.chau.218@kiotviet.vn,KiotViet,Procurement Manager,retail,500,0914605820
Bùi Thanh Giang,bui.thanh.giang.219@kiotviet.vn,KiotViet,CEO,logistics,25,0356171605
Vũ Hồng Quân,vu.hong.quan.220@gmail.com,CenLand,CTO,healthcare,120,0705705747
Ngô Hữu Giang,ngo.huu.giang.221@pharmacity.vn,Pharmacity,CTO,education,25,0934518839
Nguyễn Thị Sơn,nguyen.thi.son.222@gmail.com,Shopee Vietnam,CEO,ecommerce,10,0320485319
Nguyễn Quang Khánh,nguyen.quang.khanh.223@duytanplasti.vn,Duy Tan Plastics,Product Manager,healthcare,500,0975977938
Hồ Minh Sơn,ho.minh.son.224@gmail.com,Tiki,Procurement Manager,healthcare,120,0962926849
Phan Xuân Giang,phan.xuan.giang.225@pnj.vn,PNJ,CFO,education,1500,0934045191
Võ Văn Hà,vo.van.ha.226@viettiengarm.vn,Viet Tien Garment,Procurement Manager,education,120,0918920862
Lê Quang Việt,le.quang.viet.227@momo.vn,MoMo,CFO,retail,120,0321894471
Trần Xuân Mai,tran.xuan.mai.228@gmail.com,TopCV,Procurement Manager,logistics,10,0329299844
Phan Xuân Dũng,phan.xuan.dung.229@hoaphat.vn,Hoà Phát,Product Manager,healthcare,120,0327521542
Phan Văn Nam,phan.van.nam.230@gmail.com,VNG Corporation,Operations Manager,software,250,0972559943
Đặng Thị Mai,dang.thi.mai.231@gmail.com,Tiki,Operations Manager,education,120,0861354607
Lê Đức Dũng,le.duc.dung.232@gmail.com,CenLand,Product Manager,ecommerce,25,0934277697
Lê Đức Linh,le.duc.linh.233@kiotviet.vn,KiotViet,Head of Finance,education,120,0706091305
Đỗ Đức Việt,do.duc.viet.234@tiki.vn,Tiki,Operations Manager,fintech,10,0905291830
Hồ Hồng Giang,ho.hong.giang.235@gmail.com,Base.vn,CTO,retail,120,0912934106
Phạm Xuân Giang,pham.xuan.giang.236@basevn.vn,Base.vn,Marketing Manager,ecommerce,500,0328782003
Vũ Đức Dũng,vu.duc.dung.237@vinamilk.vn,Vinamilk,CEO,education,120,0913505715
Dương Xuân Lan,duong.xuan.lan.238@fptsoftware.vn,FPT Software,Product Manager,education,25,0328595029
Lý Ngọc Giang,ly.ngoc.giang.239@haravan.vn,Haravan,CEO,healthcare,120,0356392547
Đỗ Quang Hùng,do.quang.hung.240@gmail.com,Shopee Vietnam,Head of Finance,software,50,0866499738
Hồ Thanh Linh,ho.thanh.linh.241@gmail.com,Haravan,Sales Director,retail,120,0702116031
Nguyễn Ngọc Khánh,nguyen.ngoc.khanh.242@pharmacity.vn,Pharmacity,Product Manager,fintech,50,0937251087
Hồ Ngọc Tuấn,ho.ngoc.tuan.243@gmail.com,VNG Corporation,Head of Finance,healthcare,10,0350124983
Lý Văn Bình,ly.van.binh.244@pnj.vn,PNJ,Procurement Manager,software,1500,0937098588
Ngô Thanh Trang,ngo.thanh.trang.245@gemadeptlogi.vn,Gemadept Logistics,Head of Finance,healthcare,10,0352613646
Bùi Thị Phúc,bui.thi.phuc.246@haravan.vn,Haravan,Sales Director,manufacturing,25,0916716162
Phan Thanh Linh,phan.thanh.linh.247@vinamilk.vn,Vinamilk,Procurement Manager,ecommerce,250,0909914148
Đặng Thị Trang,dang.thi.trang.248@gmail.com,Gemadept Logistics,Kế toán trưởng,fintech,1500,0964850016
Bùi Minh Hùng,bui.minh.hung.249@gmail.com,VNG Corporation,Marketing Manager,education,120,0354008893
Hồ Xuân Phúc,ho.xuan.phuc.250@viettiengarm.vn,Viet Tien Garment,CFO,logistics,50,0709979104
